instru,expiry,dte,atm,atm_exit,atm_diff,pnl,vix
FINNIFTY,2023-05-02 00:00:00,3,19000,19200,200,40.4,11.9
FINNIFTY,2023-03-14 00:00:00,3,18250,17550,-700,36.8,16.22
FINNIFTY,2023-01-31 00:00:00,3,18500,18100,-400,36.3,16.88
FINNIFTY,2023-02-28 00:00:00,3,17900,18000,100,-27.8,14.02
FINNIFTY,2023-01-03 00:00:00,3,19100,19200,100,-23.2,14.39
FINNIFTY,2023-05-09 00:00:00,3,19500,19250,-250,43.1,12.68
FINNIFTY,2023-02-07 00:00:00,3,18050,18400,350,28.3,14.13
FINNIFTY,2023-04-11 00:00:00,3,18400,18600,200,34.7,11.98
FINNIFTY,2023-04-25 00:00:00,3,18800,18950,150,40.9,11.52
FINNIFTY,2023-03-06 00:00:00,3,18100,18400,300,39.1,12.27
FINNIFTY,2023-01-17 00:00:00,3,18550,18650,100,-63.6,14.59
FINNIFTY,2023-04-18 00:00:00,3,18700,18750,50,-50.7,12.08
FINNIFTY,2023-01-10 00:00:00,3,18800,18500,-300,33.1,15.51
FINNIFTY,2023-02-14 00:00:00,3,18500,18600,100,-17.4,13.45
FINNIFTY,2023-04-03 00:00:00,3,17650,18150,500,33.0,12.59
FINNIFTY,2023-03-28 00:00:00,3,17750,17650,-100,-30.8,15.1
FINNIFTY,2023-02-21 00:00:00,3,18550,18250,-300,38.5,14.01
FINNIFTY,2023-01-24 00:00:00,3,18750,18900,150,24.7,13.66
FINNIFTY,2023-03-21 00:00:00,3,17500,17800,300,29.6,15.08
